Mouser Part Number,Mfr Part Number,Mfr.,Datasheet,Availability,Pricing,RoHS,Lifecycle,Product Detail,Series,Protocol Supported,Frequency,Data Rate,Interface Type,Output Power,Operating Supply Voltage,Supply Current Transmitting,Supply Current Receiving,Minimum Operating Temperature,Maximum Operating Temperature,Protocol - WiFi - 802.11,Protocol - Bluetooth, BLE - 802.15.1,Protocol - Cellular, NBIoT, LTE,Protocol - ANT, Thread, Zigbee - 802.15.4,Qualification,Packaging
765-RN-171,RN171-I/RM,Microchip Technology,https://ru.mouser.com/datasheet/2/268/70005171B-1146704.pdf,142  In Stock,$44.70,RoHS Compliant,,https://ru.mouser.com/ProductDetail/Microchip-Technology/RN171-I-RM?qs=Ad2LRJtGXDs1eLIWb4m46Q==&utm_source=mouser-refine-download&utm_medium=file&utm_campaign=RN171-I/RM&utm_content=Microchip-Technology,RN171,802.11 b/g,2.4 GHz,"11 Mb/s, 54 Mb/s","SPI, UART",12 dBm,3.3 V,190 mA,40 mA,- 40 C,+ 85 C,WiFi,,,,,Tray,,,,,
765-RN-131C,RN131C/RM,Microchip Technology,https://ru.mouser.com/datasheet/2/268/rn-131-ds-v3.2r-1181126.pdf,162  In Stock,$54.90,RoHS Compliant,,https://ru.mouser.com/ProductDetail/Microchip-Technology/RN131C-RM?qs=kN%2BdH4tS76skMroRfS4jNg==&utm_source=mouser-refine-download&utm_medium=file&utm_campaign=RN131C/RM&utm_content=Microchip-Technology,RN131,802.11 b/g,2.4 GHz,"11 Mb/s, 54 Mb/s","SPI, UART",18 dBm,3.3 V,210 mA,40 mA,0 C,+ 70 C,WiFi,,,,,Tray,,,,,
814-ST60-2230C-P,ST60-2230C-P,Laird Connectivity,https://ru.mouser.com/datasheet/2/986/CS_DS_ST60_2230C_P_ST60_2230C_PU_v1_14-1894142.pdf,60  In Stock,$52.47,RoHS Compliant,,https://ru.mouser.com/ProductDetail/Laird-Connectivity/ST60-2230C-P?qs=r5DSvlrkXmJNeVQc5PqDYw==&utm_source=mouser-refine-download&utm_medium=file&utm_campaign=ST60-2230C-P&utm_content=Laird-Connectivity,60-2230C,802.11 ac,"2.4 GHz to 2.495 GHz, 5.15 GHz to 5.825 GHz",866.7 Mb/s,UART,18 dBm,3.3 V,,,- 30 C,+ 85 C,WiFi,,,,,Tray,,,,,
765-RN-XV-U,RN171XVU-I/RM,Microchip Technology,https://ru.mouser.com/datasheet/2/268/rn-171-xv-ds-v1.04r-737505.pdf,231  In Stock,$59.52,RoHS Compliant,,https://ru.mouser.com/ProductDetail/Microchip-Technology/RN171XVU-I-RM?qs=sVdVlwbC4QifOw6fYaNjHw==&utm_source=mouser-refine-download&utm_medium=file&utm_campaign=RN171XVU-I/RM&utm_content=Microchip-Technology,RN171XV,802.11 b/g,2.4 GHz,"11 Mb/s, 54 Mb/s",UART,12 dBm,3.3 V,180 mA,40 mA,- 40 C,+ 85 C,WiFi,,,"802.15.4 (ANT, Thread, Zigbee)",,Bulk,,,,,
551-CMP9377-UA,CMP9377-UA,CEL,https://ru.mouser.com/datasheet/2/286/CMP9377-1621243.pdf,299  In Stock,$69.02,RoHS Compliant,New At Mouser,https://ru.mouser.com/ProductDetail/CEL/CMP9377-UA?qs=%2B6g0mu59x7Icj54P5A7B6g==&utm_source=mouser-refine-download&utm_medium=file&utm_campaign=CMP9377-UA&utm_content=CEL,CMP9377,802.11 a/ac/b/g/n,"2.4 GHz, 5 GHz",,"USB, PCIe",20 dBm,3.3 V,,,- 40 C,+ 85 C,WiFi,BLE,,,,Tray,,,,,
651-2702540,2702540,Phoenix Contact,https://ru.mouser.com/datasheet/2/324/4/2702540-1464157.pdf,5  In Stock,"$1,027.15",RoHS Compliant,,https://ru.mouser.com/ProductDetail/Phoenix-Contact/2702540?qs=0kYgdqhPduEIIO2OLawH0Q==&utm_source=mouser-refine-download&utm_medium=file&utm_campaign=2702540&utm_content=Phoenix-Contact,,802.11 a/b/g/n,"2.4 GHz, 5 GHz","10 Mb/s, 100 Mb/s",Ethernet,,24 V,,120 mA,- 40 C,+ 60 C,WiFi,,,,,,,,,,
634-WF121-E-V2,WF121-E-V2,Silicon Labs,https://ru.mouser.com/datasheet/2/368/Bluegiga_WF121_Datasheet-1203323.pdf,431  In Stock,$30.49,,,https://ru.mouser.com/ProductDetail/Silicon-Labs/WF121-E-V2?qs=8HqIXBaaO6xDOZfVx%2BXT0g==&utm_source=mouser-refine-download&utm_medium=file&utm_campaign=WF121-E-V2&utm_content=Silicon-Labs,WF121,802.11 b/g/n,2.4 GHz,"11 Mb/s, 54 Mb/s, 72.2 Mb/s","Ethernet, GPIO, I2C, SPI, UART, USB",17 dBm,"3.3 V, 2.7 V to 4.8 V",143 mA,127 mA,- 40 C,+ 85 C,WiFi,,,,,"Cut Tape, Reel",,,,,
579-RN171-I/RM475,RN171-I/RM475,Microchip Technology,https://ru.mouser.com/datasheet/2/268/70005171B-1146704.pdf,281  In Stock,$44.70,RoHS Compliant,,https://ru.mouser.com/ProductDetail/Microchip-Technology/RN171-I-RM475?qs=qdgZG5p0FZ5g6JdFzLesgQ==&utm_source=mouser-refine-download&utm_medium=file&utm_campaign=RN171-I/RM475&utm_content=Microchip-Technology,RN171,802.11 b/g,2.4 GHz,"11 Mb/s, 54 Mb/s","GPIO, SDIO, SPI, UART",0 dBm to 12 dBm,3.3 V,190 mA,40 mA,- 40 C,+ 85 C,WiFi,,,,,Tray,,,,,
651-1005869,1005869,Phoenix Contact,,7  In Stock,$704.62,RoHS Compliant,,https://ru.mouser.com/ProductDetail/Phoenix-Contact/1005869?qs=F5EMLAvA7ICSv80UQwvaew==&utm_source=mouser-refine-download&utm_medium=file&utm_campaign=1005869&utm_content=Phoenix-Contact,,,,,,,,,,- 40 C,+ 65 C,,,,,,,,,,,
579-RN171IRM481,RN171-IRM481,Microchip Technology,https://ru.mouser.com/datasheet/2/268/70005171B-1146704.pdf,137  In Stock,$44.70,RoHS Compliant,,https://ru.mouser.com/ProductDetail/Microchip-Technology/RN171-IRM481?qs=Fe2pGbCwd5fxbhL3XzkzOQ==&utm_source=mouser-refine-download&utm_medium=file&utm_campaign=RN171-IRM481&utm_content=Microchip-Technology,RN171,,,,,,,,,,,WiFi,,,,,Tray,,,,,
651-2702877,2702877,Phoenix Contact,https://ru.mouser.com/datasheet/2/324/4/2702877-1900000.pdf,4  In Stock,"$1,808.01",,New At Mouser,https://ru.mouser.com/ProductDetail/Phoenix-Contact/2702877?qs=W0yvOO0ixfFWs5YSlrotGA==&utm_source=mouser-refine-download&utm_medium=file&utm_campaign=2702877&utm_content=Phoenix-Contact,,,900 MHz,500 kb/s,,1 W,30.5 V,,,- 40 C,+ 70 C,WiFi,,,,,,,,,,
347-ISM43903R48L54E,ISM43903-R48-L54-E,Inventek,https://ru.mouser.com/datasheet/2/908/ISM43903_Functional_Spec-2-1371160.pdf,337  In Stock,$22.77,RoHS Compliant,,https://ru.mouser.com/ProductDetail/Inventek/ISM43903-R48-L54-E?qs=MLItCLRbWsz2S20p0zUQ7w==&utm_source=mouser-refine-download&utm_medium=file&utm_campaign=ISM43903-R48-L54-E&utm_content=Inventek,ISM43903,802.11 b/g/n,2.4 GHz,72.2 Mb/s,UART,17 dBm,3.3 V,,,- 40 C,+ 85 C,WiFi,BLE,,,,Tray,,,,,
634-WGM110E1MV2R,WGM110E1MV2R,Silicon Labs,https://ru.mouser.com/datasheet/2/368/wgm110_datasheet-1036080.pdf,591  In Stock,$22.14,RoHS Compliant,,https://ru.mouser.com/ProductDetail/Silicon-Labs/WGM110E1MV2R?qs=8HqIXBaaO6xtfvcKt5uVZA==&utm_source=mouser-refine-download&utm_medium=file&utm_campaign=WGM110E1MV2R&utm_content=Silicon-Labs,WGM110,802.11 b/g/n,2.412 GHz to 2.472 GHz,72.2 Mb/s,"I2C, SPI, USB","15 dBm, 16 dBm",3.3 V,261 mA,81 mA,- 40 C,+ 85 C,WiFi,,,,,"Cut Tape, Reel",,,,,
556-ATSAMW25MR510PB,ATSAMW25H18-MR510PB,Microchip Technology / Atmel,https://ru.mouser.com/datasheet/2/268/Atmel-42463-SAM-W25-Xplained-Pro_UserGuide-1859460.pdf,95  In Stock,$43.39,RoHS Compliant,,https://ru.mouser.com/ProductDetail/Microchip-Technology-Atmel/ATSAMW25H18-MR510PB?qs=eluY34QfiLkGvAGZ%2BzhNVQ==&utm_source=mouser-refine-download&utm_medium=file&utm_campaign=ATSAMW25H18-MR510PB&utm_content=Microchip-Technology-/-Atmel,ATSAMW25,802.11 b/g/n,2.4 GHz,"11 Mb/s, 54 Mb/s, 65 Mb/s",SPI/UART,17 dBm,"3.3 V, 3.6 V",,,- 40 C,+ 85 C,WiFi,,,,,,,,,,
322-WG3221-00,WG3221-00,Jorjin,https://ru.mouser.com/datasheet/2/1105/Jorjin_01292021_WG3221_00-2090106.pdf,100  In Stock,$48.83,RoHS Compliant,New Product,https://ru.mouser.com/ProductDetail/Jorjin/WG3221-00?qs=KUoIvG/9Ilb7WYujan55SA==&utm_source=mouser-refine-download&utm_medium=file&utm_campaign=WG3221-00&utm_content=Jorjin,,802.11 a/ac/b/g/n,"2.4 GHz, 5 GHz",54 Mb/s,"SDIO, UART",10.5 dBm,3.3 V,348 mA,67 mA,- 30 C,+ 85 C,,Bluetooth,,,,Tray,,,,,
426-TEL0126,TEL0126,DFRobot,,9  In Stock,$20.93,,New Product,https://ru.mouser.com/ProductDetail/DFRobot/TEL0126?qs=IS%2B4QmGtzzqCSfx3u00dZg==&utm_source=mouser-refine-download&utm_medium=file&utm_campaign=TEL0126&utm_content=DFRobot,,,,,,,,,,,,,,,,,,,,,,
607-AX200.D2WG.LNV,AX200.D2WG.LNV,Intel,https://ru.mouser.com/datasheet/2/612/wi-fi-6-ax200-module-brief-1661660.pdf,2  In Stock,$23.50,RoHS Compliant,New Product,https://ru.mouser.com/ProductDetail/Intel/AX200D2WGLNV?qs=rkhjVJ6/3EI1nxRB%2B3o3qQ==&utm_source=mouser-refine-download&utm_medium=file&utm_campaign=AX200.D2WG.LNV&utm_content=Intel,Wi-Fi 6 AX200,802.11 ax,"2.4 GHz, 5 GHz",2.4 Gb/s,,,,,,0 C,+ 80 C,WiFi,Bluetooth,LTE,,,,,,,,
923-EKI6331ANPOEEES,EKI6331ANPOEE-ES,Advantech,,1  In Stock,$26.89,RoHS Compliant,,https://ru.mouser.com/ProductDetail/Advantech/EKI6331ANPOEE-ES?qs=rrS6PyfT74cIsKfcc/zbwg==&utm_source=mouser-refine-download&utm_medium=file&utm_campaign=EKI6331ANPOEE-ES&utm_content=Advantech,,802.11 a/n,5 GHz,54 Mb/s,"Ethernet, LAN",23 dBm,"100 VAC to 240 VAC, 24 VDC",,,- 20 C,+ 70 C,WiFi,,,,,,,,,,
